BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
NonResidential,Hotel,DOWNTOWN,2003,1.0,8,254273,0.152592,0.516277,0.483723,0.0,26659244.0,96.19999695,780.84,3.07
Nonresidential COS,Other,DOWNTOWN,1980,1.0,2,69400,0.0,0.710175,0.289824,0.0,14833476.0,213.6999969,301.76,4.35
NonResidential,Mixed Use Property,DOWNTOWN,1900,1.0,1,62900,0.0,0.364423,0.635577,0.0,10394330.0,158.3000031,377.27,6.0
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1914,1.0,4,56500,0.0,0.643002,0.0,0.356998,1380293.625,34.5,44.22,0.78
NonResidential,Warehouse,GREATER DUWAMISH,2008,1.0,4,203504,0.0,1.0,0.0,0.0,3785282.5,18.60000038,26.39,0.13
NonResidential,Large Office,DOWNTOWN,1968,0.0,3,100734,0.265362,1.0,0.0,0.0,9788717.0,97.19999695,68.24,0.68
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1981,1.0,4,77662,0.238263,0.855953,0.144046,0.0,5007401.0,80.59999847,68.19,0.88
NonResidential,Large Office,DOWNTOWN,1978,1.0,12,234000,0.09312,0.977737,0.022262,0.0,18661606.0,89.40000153,149.27,0.64
NonResidential,Large Office,DOWNTOWN,1989,1.0,25,369996,0.0,1.0,0.0,0.0,24755086.0,64.5,172.58,0.47
NonResidential,Retail Store,DOWNTOWN,1925,1.0,10,693450,0.0,0.935955,0.063515,0.00053,40062888.0,57.79999924,398.19,0.57
NonResidential,Large Office,DOWNTOWN,1976,1.0,33,791396,0.0,0.999801,0.013177,0.0,40847752.0,60.29999924,313.3,0.4
NonResidential,Large Office,DOWNTOWN,2000,1.0,23,747747,0.274259,0.899905,0.100095,0.0,30985420.0,56.20000076,359.11,0.48
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1926,1.0,10,63409,0.122333,0.394233,0.0,0.605767,3444270.0,66.90000153,170.51,2.69
NonResidential,Large Office,DOWNTOWN,1930,1.0,17,204790,0.146492,0.870328,0.129672,0.0,7739699.0,44.5,100.26,0.49
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1916,1.0,5,73399,0.0,1.0,0.0,0.0,3757006.0,61.09999847,26.19,0.36
NonResidential,Large Office,DOWNTOWN,1969,1.0,20,265851,0.121625,0.551102,0.0,0.448898,14633233.0,64.59999847,563.25,2.12
NonResidential,Large Office,DOWNTOWN,2009,1.0,25,758043,0.301656,0.967193,0.032807,0.0,27018020.0,46.40000153,229.25,0.3
NonResidential,Large Office,DOWNTOWN,1968,1.0,12,206000,0.0,0.730487,0.0,0.269513,8580279.0,53.29999924,222.19,1.08
NonResidential,Large Office,DOWNTOWN,2009,1.0,36,824887,0.187871,1.0,0.0,0.0,39523852.0,53.20000076,275.54,0.33
NonResidential,Large Office,DOWNTOWN,1990,1.0,16,480840,0.294485,0.992515,0.007484,0.0,17867002.0,52.70000076,130.73,0.27
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,7,89550,0.0,0.910744,0.0,0.089255,3903259.75,47.70000076,51.67,0.58
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,6,89355,0.0,0.985249,0.014751,0.0,4178233.5,46.79999924,31.97,0.36
NonResidential,Large Office,DOWNTOWN,1922,1.0,15,388934,0.0,0.935816,0.0,0.064184,18576900.0,47.79999924,213.23,0.55
NonResidential,Large Office,DOWNTOWN,1929,1.0,22,384302,0.0,1.0,0.0,0.0,10062436.0,28.39999962,70.15,0.18
NonResidential,Large Office,DOWNTOWN,1958,1.0,17,378525,0.223499,0.561511,0.0,0.438489,24906132.0,105.1999969,940.47,2.48
NonResidential,Large Office,DOWNTOWN,1983,1.0,47,1323055,0.0,0.996379,0.003621,0.0,44683660.0,42.59999847,318.97,0.24
NonResidential,Large Office,DOWNTOWN,1986,1.0,41,589921,0.219406,1.0,0.0,0.0,24603420.0,51.20000076,171.52,0.29
NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1950,1.0,6,91091,0.015281,0.738107,0.0,0.261893,1835804.875,20.5,46.56,0.51
NonResidential,Large Office,DOWNTOWN,1968,1.0,8,157941,0.398839,1.0,0.0,0.0,3743228.5,44.09999847,26.1,0.17
NonResidential,Large Office,DOWNTOWN,1991,1.0,29,635303,0.310452,0.990081,0.0,0.009919,18221224.0,34.90000153,139.72,0.22
NonResidential,Large Office,DOWNTOWN,1980,1.0,34,776762,0.209336,0.997079,0.002921,0.0,32552428.0,53.70000076,231.32,0.3
NonResidential,Large Office,DOWNTOWN,1972,1.0,14,186768,0.127297,0.776479,0.0,0.223521,9641043.0,52.70000076,218.53,1.17
NonResidential,Large Office,DOWNTOWN,1969,1.0,49,1123435,0.328439,0.84978,0.15022,0.0,45163308.0,52.70000076,627.87,0.56
NonResidential,Large Office,DOWNTOWN,2002,1.0,37,1052469,0.156223,1.0,0.0,0.0,41213584.0,46.29999924,287.32,0.27
NonResidential,Large Office,DOWNTOWN,1973,1.0,42,617684,0.27765,0.987299,0.0,0.012701,69519808.0,115.9000015,546.65,0.88
NonResidential,Large Office,DOWNTOWN,1907,1.0,8,201480,0.0,0.818425,0.0,0.181574,8921778.0,44.29999924,175.95,0.87
Nonresidential COS,Large Office,DOWNTOWN,1990,1.0,63,1354987,0.117787,1.0,0.0,0.0,61576184.0,50.40000153,429.27,0.32
Nonresidential COS,Large Office,DOWNTOWN,2001,1.0,14,310490,0.0,0.761663,0.238336,0.0,21169502.0,71.0,380.37,1.23
Nonresidential COS,Large Office,DOWNTOWN,2003,1.0,8,199530,0.153661,0.661321,0.338679,0.0,13214416.0,73.19999695,298.61,1.5
