BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity,Other,Distribution Center,Parking,Hotel,Restaurant,Supermarket/Grocery Store,Medical Office,Non-Refrigerated Warehouse,K-12 School,Retail Store,Worship Facility,Office,grouped_usetypes
NonResidential,Hotel,LAKE UNION,2000,1.0,7,150453,0.230869,0.505736,0.494264,0.0,6715187.0,60.70000076,199.95,1.33,0.0,0.0,0.0,0.714821239855636,0.019939781858786466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,LAKE UNION,1997,1.0,6,116300,0.242476,0.547131,0.452869,0.0,5827595.5,65.90000153,162.39,1.4,0.0,0.0,0.24333619948409285,0.7608770421324161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1998,1.0,6,155602,0.236141,0.666813,0.333186,0.0,6836900.0,43.90000153,152.76,0.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,K-12 School,EAST,1911,1.0,3,56072,0.0,0.170604,0.829396,0.0,3234787.75,57.70000076,146.34,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,MAGNOLIA / QUEEN ANNE,1999,1.0,4,122942,0.36514,0.454109,0.545891,0.0,5337334.0,68.40000153,171.64,1.4,0.0,0.0,0.36513965935156417,0.6348603406484359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Small- and Mid-Sized Office,CENTRAL,1962,1.0,2,54984,0.0,0.586106,0.413894,0.0,3375211.0,61.40000153,87.98,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NonResidential,Senior Care Community,SOUTHWEST,1922,1.0,5,217603,0.0,0.276331,0.723669,0.0,42792072.0,144.3999939,1727.11,7.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3617137631374567
NonResidential,Senior Care Community,NORTHWEST,1970,1.0,2,93397,0.0,0.346257,0.653743,0.0,16402563.0,175.6000061,609.1,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NonResidential,Hotel,LAKE UNION,2008,1.0,6,84103,0.246507,0.758935,0.241065,0.0,3706100.25,58.5,67.06,0.8,0.0,0.0,0.2465072589562798,0.7534927410437202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Medical Office,EAST,1965,0.0,3,179014,0.0,0.591968,0.408032,0.0,16701055.0,93.30000305,430.84,2.41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Hotel,EAST,1908,1.0,7,76631,0.0,0.366556,0.633444,0.0,7258758.5,94.69999695,262.75,3.43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NonResidential,Mixed Use Property,EAST,1983,1.0,6,99780,0.093616,0.655674,0.0,0.344326,15473117.0,204.5,481.97,4.83,0.0,0.0,0.20914010823812387,0.0,0.0,0.0,0.40262577670875926,0.0,0.0,0.0,0.0,0.17057526558428543,0.0
NonResidential,Retail Store,LAKE UNION,1929,1.0,2,58320,0.0,0.344657,0.655343,0.0,1049748.625,14.60000038,39.06,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2358024691358025,0.0,0.0,0.0
NonResidential,Large Office,LAKE UNION,2010,1.0,5,316306,0.0,0.932961,0.067039,0.0,13795954.0,48.0,138.85,0.44,0.04786188058399145,0.0,0.47651957281872614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8277617244061131,0.0
NonResidential,Hotel,LAKE UNION,1990,1.0,7,282863,0.15826,0.564288,0.435712,0.0,19459304.0,82.5,526.85,1.86,0.0,0.0,0.18219774236998124,0.8335766784627187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
