BuildingType,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,proportion_parking,proportion_electricity,proportion_gaz,proportion_steam,SiteEnergyUse(kBtu),SiteEUI(kBtu/sf),TotalGHGEmissions,GHGEmissionsIntensity
Campus,University,47.547,-122.35307,1970,27.0,2,441071,0.0,0.660925,0.339075,0.0,38301744.0,79.30000305,866.23,1.96
NonResidential,Small- and Mid-Sized Office,47.67828,-122.26456,2002,1.0,2,96300,0.0,0.85624,0.14376,0.0,16319835.0,167.8000031,222.02,2.31
Nonresidential COS,Other,47.59545,-122.32146,1950,1.0,1,67356,0.0,0.559422,0.440578,0.0,7475577.5,109.4000015,204.08,3.03
NonResidential,Small- and Mid-Sized Office,47.53827,-122.28406,1958,1.0,1,54765,0.0,0.839179,0.160821,0.0,4253369.5,83.80000305,61.21,1.12
NonResidential,Other,47.53722,-122.284,2009,1.0,5,89821,0.0,0.034594,0.965406,0.0,1950092.5,21.89999962,100.46,1.12
NonResidential,University,47.65147,-122.36122,1980,1.0,2,52611,0.0,0.602223,0.397777,0.0,4116871.5,78.30000305,104.26,1.98
NonResidential,Residence Hall,47.65068,-122.36331,2001,1.0,4,139600,0.268625,0.520682,0.479318,0.0,4448582.5,32.79999924,129.39,0.93
SPS-District K-12,K-12 School,47.70763,-122.29453,2011,1.0,2,236758,0.0,0.573235,0.426764,0.0,8355988.5,35.0,222.78,0.94
NonResidential,Other,47.60462,-122.31549,1971,3.0,6,250981,0.0,0.623867,0.044384,0.331749,13071700.0,60.5,422.39,1.68
NonResidential,Other,47.61598,-122.33448,2004,1.0,11,299070,0.228816,0.469132,0.530868,0.0,65336980.0,261.2999878,2055.82,6.87
NonResidential,Small- and Mid-Sized Office,47.536,-122.31768,2007,1.0,3,64015,0.0,0.819654,0.180346,0.0,3242077.75,60.0,49.58,0.77
NonResidential,Retail Store,47.70759,-122.3255,1951,1.0,1,530039,0.0,0.585363,0.414637,0.0,27717034.0,52.29999924,723.47,1.36
NonResidential,Other,47.7066,-122.321,1964,1.0,3,54224,0.0,0.460392,0.539608,0.0,7265178.0,154.5,231.53,4.27
NonResidential,Retail Store,47.70619,-122.32586,1965,1.0,4,124342,0.0,0.987183,0.012817,0.0,8765978.0,71.90000153,66.3,0.53
NonResidential,Hospital,47.66231,-122.28146,1953,6.0,10,879000,0.0,0.455581,0.544419,0.0,253832464.0,288.7999878,8145.52,9.27
NonResidential,Other,47.70956,-122.3345,1996,1.0,3,55442,0.0,0.582642,0.417357,0.0,3191228.25,85.59999847,83.7,1.51
NonResidential,Self-Storage Facility,47.61233,-122.3171,1910,1.0,5,84870,0.0,0.349333,0.650667,0.0,1381590.125,16.20000076,51.11,0.6
Campus,University,47.69936,-122.33401,1970,11.0,2,694072,0.160826,0.931999,0.068001,0.0,35891484.0,53.79999924,362.82,0.52
NonResidential,Warehouse,47.55152,-122.31869,1904,1.0,4,114297,0.0,0.434492,0.565508,0.0,2100097.75,18.39999962,69.44,0.61
NonResidential,Warehouse,47.55901,-122.33328,1937,1.0,1,234144,0.0,0.195248,0.804752,0.0,6744317.0,28.79999924,297.43,1.27
NonResidential,Retail Store,47.52254,-122.36627,1966,1.0,1,64984,0.0,0.887712,0.112288,0.0,2944296.25,45.0,35.78,0.55
NonResidential,Retail Store,47.52254,-122.36627,1965,1.0,1,67745,0.0,0.284295,0.715705,0.0,9230223.0,136.1999969,369.14,5.45
SPS-District K-12,K-12 School,47.52915,-122.36511,2010,1.0,2,367884,0.0,0.66895,0.33105,0.0,12265516.0,33.29999924,272.85,0.74
NonResidential,Other,47.67767,-122.39631,1973,1.0,3,56000,0.0,0.456372,0.543627,0.0,1851260.5,33.09999847,59.34,1.06
NonResidential,Self-Storage Facility,47.54508,-122.37737,1969,1.0,2,52088,0.0,0.380223,0.619777,0.0,1377519.5,26.39999962,48.99,0.94
NonResidential,Hotel,47.62972,-122.32906,1998,1.0,5,123920,0.242092,0.435201,0.564799,0.0,9373179.0,75.59999847,309.6,2.5
Nonresidential COS,Other,47.62759,-122.33661,1900,1.0,1,50000,0.0,0.503116,0.496884,0.0,7548807.0,175.6000061,225.69,4.51
Nonresidential COS,Warehouse,47.62591,-122.34084,1926,1.0,2,50292,0.0,1.000001,0.0,0.0,430473.6875,8.0,3.0,0.06
NonResidential,Hotel,47.62782,-122.34045,1998,1.0,7,207656,0.261688,0.495058,0.504941,0.0,11171988.0,78.90000153,338.16,1.63
Nonresidential COS,Small- and Mid-Sized Office,47.70044,-122.34136,1957,1.0,2,91130,0.0,0.748914,0.251086,0.0,9472358.0,100.5,175.77,1.93
NonResidential,Hotel,47.70916,-122.33216,1968,1.0,4,64893,0.0,0.422817,0.577183,0.0,6197825.0,95.5,208.26,3.21
NonResidential,Small- and Mid-Sized Office,47.60105,-122.33518,1900,1.0,3,44558,0.0,0.78571,0.21429,0.0,1677002.25,37.59999847,28.27,0.63
NonResidential,Other,47.59544,-122.33159,1999,1.0,6,1585960,0.206613,0.827343,0.172657,0.0,59757440.0,37.70000076,892.63,0.56
